'Ar_LMM_10' ,160.64, 'L23MM',0.00544069640914037, '2p3/2'
'Ar_LMM_21' ,171.6, 'L3MM' ,0.007616974972796518, '2p3/2'
'Ar_LMM_22' ,173.55, 'L23MM',0.006528835690968444, '2p3/2'
'Ar_LMM_23' ,173.81, 'L2MM' ,0.010438413361169102, '2p1/2'   
'Ar_LMM_24' ,174.22, 'L23MM',0.011969532100108813, '2p3/2'
'Ar_LMM_26' ,175.76, 'L23MM',0.011969532100108813, '2p3/2' 
'Ar_LMM_32' ,177.91, 'L3MM' ,0.036996735582154515, '2p3/2'
'Ar_LMM_34' ,178.66, 'L3MM' ,0.013057671381936888, '2p3/2' 
'Ar_LMM_35' ,178.97, 'L3MM' ,0.022850924918389554, '2p3/2'
'Ar_LMM_36' ,179.48, 'L3MM' ,0.006528835690968444, '2p3/2'  
'Ar_LMM_37' ,180.06, 'L2MM' ,0.037578288100208766, '2p1/2'
'Ar_LMM_40' ,181.14, 'L2MM' ,0.020876826722338204, '2p1/2'
'Ar_LMM_45' ,187.33, 'L3MM' ,0.05767138193688792, '2p3/2'
'Ar_LMM_48' ,189.49, 'L2MM' ,0.06680584551148225, '2p1/2'
'Ar_LMM_5253',191.16, 'L3MM' ,0.09466811751904244, '2p3/2' 
'Ar_LMM_60' ,193.13, 'L2MM' ,0.07724425887265135, '2p1/2'   
'Ar_LMM_68' ,196.67, 'L23MM',0.026115342763873776, '2p3/2' 
'Ar_LMM_72' ,201.09, 'L23MM',0.1088139281828074, '2p3/2'
'Ar_LMM_73' ,203.23, 'L2MM' ,0.11482254697286012, '2p1/2' 
'Ar_LMM_74' ,203.47, 'L23MM',0.29379760609357997, '2p3/2'
'Ar_LMM_75' ,205.21, 'L23MM',0.2959738846572361, '2p3/2' 
'Ar_LMM_76' ,205.62, 'L2MM' ,0.38204592901878914, '2p1/2'
'Ar_LMM_78' ,207.23, 'L2MM' ,0.29018789144050106, '2p1/2' 
