'Kr_MNN_01' ,56.51, 'M4NN' ,0.02826379542395693, '3d3/2'
'Kr_MNN_02' ,55.94, 'M4NN' ,0.051144010767160165, '3d3/2'
'Kr_MNN_03' ,55.26, 'M5NN' ,0.09240246406570841, '3d5/2'
'Kr_MNN_04' ,54.7, 'M4NN' ,0.2018842530282638, '3d3/2'
'Kr_MNN_06' ,53.45, 'M5NN' ,0.14168377823408623, '3d5/2'
'Kr_MNN_07' ,52.41, 'M4NN' ,0.13458950201884254, '3d3/2'
'Kr_MNN_10' ,51.15, 'M5NN' ,0.11396303901437373, '3d5/2'
'Kr_MNN_20' ,42.14, 'M4NN' ,0.07806191117092867, '3d3/2'
'Kr_MNN_21' ,41.69, 'M4NN' ,0.013458950201884255, '3d3/2'
'Kr_MNN_23' ,40.89, 'M5NN' ,0.04722792607802875, '3d5/2'
'Kr_MNN_24' ,40.46, 'M5NN' ,0.06365503080082136, '3d5/2'
'Kr_MNN_25' ,40.19, 'M5NN' ,0.021560574948665298, '3d5/2'
'Kr_MNN_27' ,38.71, 'M4NN' ,0.2113055181695828, '3d3/2'
'Kr_MNN_30' ,37.67, 'M5NN' ,0.2166324435318275, '3d5/2'
'Kr_MNN_35' ,32.14, 'M4NN' ,0.1749663526244953, '3d3/2'
'Kr_MNN_40' ,30.89, 'M5NN' ,0.18583162217659138, '3d5/2'
'Kr_MNN_51' ,25.23, 'M4NN' ,0.1063257065948856, '3d3/2'
'Kr_MNN_52' ,23.98, 'M5NN' ,0.11704312114989732, '3d5/2'
