'Xe_NOO_01',36.422, 'N4OO',0.02669039145907473, '4d3/2'
'Xe_NOO_02',35.208, 'N4OO',0.07651245551601424, '4d3/2'
'Xe_NOO_03',34.443, 'N5OO',0.10487804878048781, '4d5/2'  
'Xe_NOO_04',34.302, 'N4OO',0.18505338078291816, '4d3/2'  
'Xe_NOO_05',33.435, 'N5OO',0.05853658536585366, '4d5/2'  
'Xe_NOO_06',33.229, 'N5OO',0.047560975609756105, '4d5/2'  
'Xe_NOO_07',32.323, 'N5OO',0.11829268292682928, '4d5/2'
'Xe_NOO_08',31.946, 'N4OO',0.17793594306049823, '4d3/2'
'Xe_NOO_09',29.97, 'N5OO',0.08902439024390245, '4d5/2'
'Xe_NOO_16',21.67, 'N4OO',0.11032028469750889, '4d3/2'
'Xe_NOO_18',19.69, 'N5OO',0.09756097560975611, '4d5/2'
'Xe_NOO_22',17.25, 'N4OO',0.07295373665480427, '4d3/2'
'Xe_NOO_24',16.15, 'N4OO',0.1601423487544484, '4d3/2'
'Xe_NOO_25',15.27, 'N5OO',0.0902439024390244, '4d5/2'
'Xe_NOO_26',14.703, 'N45OO',0.037804878048780494, '4d5/2'
'Xe_NOO_27',14.17, 'N5OO',0.1634146341463415, '4d5/2'
'Xe_NOO_28',12.741, 'N45OO',0.030487804878048783, '4d5/2'
'Xe_NOO_29',10.279, 'N4OO',0.1903914590747331, '4d3/2'
'Xe_NOO_30',8.3, 'N5OO',0.16219512195121955, '4d5/2'
'Xe_NNO_01',51.31, 'N3NO',0.061842918985776124, '4p3/2'
'Xe_NNO_02',52.18, 'N3NO',0.04081632653061224, '4p3/2'
'Xe_NNO_03',52.93, 'N3NO',0.10636982065553492, '4p3/2'
'Xe_NNO_04',53.24, 'N3NO',0.05627705627705627, '4p3/2'
'Xe_NNO_05',53.75, 'N3NO',0.06493506493506493, '4p3/2'
'Xe_NNO_06',54.06, 'N3NO',0.0494743351886209, '4p3/2'
'Xe_NNO_07',54.66, 'N3NO',0.08410636982065553, '4p3/2'
'Xe_NNO_08',54.98, 'N3NO',0.05132962275819418, '4p3/2'
'Xe_NNO_09',55.43, 'N3NO',0.05194805194805194, '4p3/2'
'Xe_NNO_10',55.58, 'N3NO',0.10080395794681507, '4p3/2'
'Xe_NNO_11',55.91, 'N3NO',0.06926406926406926, '4p3/2'
'Xe_NNO_12',56.36, 'N3NO',0.05689548546691404, '4p3/2'
'Xe_NNO_13',56.76, 'N3NO',0.04700061842918985, '4p3/2'
'Xe_NNO_14',57.23, 'N3NO',0.04329004329004328, '4p3/2'
'Xe_NNO_15',57.61, 'N3NO',0.04081632653061224, '4p3/2'
'Xe_NNO_16',57.97, 'N3NO',0.042053184910327765, '4p3/2'
'Xe_NNO_17',58.42, 'N3NO',0.032776747062461344, '4p3/2'
